"","S.no","Library","Component","Language","Total_words","Translated","Untranslated","Fuzzy"
"600",30,"stats4 (R files)","R","Urdu",8,0,8,0
"601",1,"tcltk (C files)","C","English",10,10,0,0
"602",2,"tcltk (C files)","C","Danish",10,9,1,0
"603",3,"tcltk (C files)","C","German",10,10,0,0
"604",4,"tcltk (C files)","C","French",10,10,0,0
"605",5,"tcltk (C files)","C","Italian",10,10,0,0
"606",6,"tcltk (C files)","C","Japanese",10,9,1,0
"607",7,"tcltk (C files)","C","Korean",10,9,1,0
"608",8,"tcltk (C files)","C","Lithuanian",10,10,0,0
"609",9,"tcltk (C files)","C","Polish",10,10,0,0
"610",10,"tcltk (C files)","C","Portuguese (Brazil)",10,10,0,0
"611",11,"tcltk (C files)","C","Russian",10,10,0,0
"612",12,"tcltk (C files)","C","Chinese (Simplified Han script)",10,10,0,0
"613",13,"tcltk (C files)","C","Chinese (Traditional Han script)",10,9,1,0
"614",14,"tcltk (C files)","C","Arabic",10,10,0,0
"615",15,"tcltk (C files)","C","Bengali",10,1,9,0
"616",16,"tcltk (C files)","C","Spanish",10,10,0,0
"617",17,"tcltk (C files)","C","Dutch",10,0,10,0
"618",18,"tcltk (C files)","C","Hindi",10,0,10,0
"619",19,"tcltk (C files)","C","Nepali",10,0,10,0
"620",20,"tcltk (C files)","C","Turkish",10,0,10,0
"621",21,"tcltk (C files)","C","Hungarian",10,9,1,0
"622",22,"tcltk (C files)","C","Catalan",10,10,0,0
"623",23,"tcltk (C files)","C","English (United Kingdom)",10,10,0,0
"624",24,"tcltk (C files)","C","Pangasinan",10,0,10,0
"625",25,"tcltk (C files)","C","Czech",10,0,10,0
"626",26,"tcltk (C files)","C","Persian",10,0,10,0
"627",27,"tcltk (C files)","C","Indonesian",10,0,10,0
"628",28,"tcltk (C files)","C","Norwegian Nynorsk",10,0,10,0
"629",29,"tcltk (C files)","C","Albanian",10,0,10,0
"630",30,"tcltk (C files)","C","Urdu",10,0,10,0
"631",1,"tcltk (R files)","R","English",30,30,0,0
"632",2,"tcltk (R files)","R","Danish",30,28,1,1
"633",3,"tcltk (R files)","R","German",30,30,0,0
"634",4,"tcltk (R files)","R","French",30,30,0,0
"635",5,"tcltk (R files)","R","Italian",30,30,0,0
"636",6,"tcltk (R files)","R","Japanese",30,29,1,0
"637",7,"tcltk (R files)","R","Korean",30,29,1,0
"638",8,"tcltk (R files)","R","Lithuanian",30,29,1,0
"639",9,"tcltk (R files)","R","Polish",30,30,0,0
"640",10,"tcltk (R files)","R","Portuguese (Brazil)",30,30,0,0
"641",11,"tcltk (R files)","R","Russian",30,30,0,0
"642",12,"tcltk (R files)","R","Chinese (Simplified Han script)",30,30,0,0
"643",13,"tcltk (R files)","R","Chinese (Traditional Han script)",30,29,1,0
"644",14,"tcltk (R files)","R","Arabic",30,26,0,4
"645",15,"tcltk (R files)","R","Spanish",30,30,0,0
"646",16,"tcltk (R files)","R","Dutch",30,0,30,0
"647",17,"tcltk (R files)","R","Hindi",30,0,30,0
"648",18,"tcltk (R files)","R","Nepali",30,1,29,0
"649",19,"tcltk (R files)","R","Turkish",30,0,30,0
"650",20,"tcltk (R files)","R","Hungarian",30,28,2,0
"651",21,"tcltk (R files)","R","Catalan",30,7,0,23
"652",22,"tcltk (R files)","R","English (United Kingdom)",30,30,0,0
"653",23,"tcltk (R files)","R","Pangasinan",30,0,30,0
"654",24,"tcltk (R files)","R","Czech",30,0,30,0
"655",25,"tcltk (R files)","R","Bengali",30,0,30,0
"656",26,"tcltk (R files)","R","Persian",30,0,30,0
"657",27,"tcltk (R files)","R","Indonesian",30,0,30,0
"658",28,"tcltk (R files)","R","Norwegian Nynorsk",30,0,30,0
"659",29,"tcltk (R files)","R","Albanian",30,0,30,0
"660",30,"tcltk (R files)","R","Urdu",30,0,30,0
"661",1,"tools (C files)","C","English",42,42,0,0
"662",2,"tools (C files)","C","Danish",42,10,29,3
"663",3,"tools (C files)","C","German",42,40,2,0
"664",4,"tools (C files)","C","French",42,39,3,0
"665",5,"tools (C files)","C","Italian",42,37,3,2
"666",6,"tools (C files)","C","Japanese",42,32,6,4
"667",7,"tools (C files)","C","Korean",42,30,8,4
"668",8,"tools (C files)","C","Lithuanian",42,36,4,2
"669",9,"tools (C files)","C","Polish",42,39,3,0
"670",10,"tools (C files)","C","Portuguese (Brazil)",42,36,6,0
"671",11,"tools (C files)","C","Russian",42,40,2,0
"672",12,"tools (C files)","C","Chinese (Simplified Han script)",42,36,6,0
"673",13,"tools (C files)","C","Chinese (Traditional Han script)",42,32,6,4
"674",14,"tools (C files)","C","Arabic",42,40,2,0
"675",15,"tools (C files)","C","Spanish",42,38,4,0
"676",16,"tools (C files)","C","Dutch",42,1,41,0
"677",17,"tools (C files)","C","Hindi",42,2,40,0
"678",18,"tools (C files)","C","Nepali",40,0,40,0
"679",19,"tools (C files)","C","Turkish",40,0,40,0
"680",20,"tools (C files)","C","Hungarian",42,6,34,2
"681",21,"tools (C files)","C","Catalan",42,26,3,13
"682",22,"tools (C files)","C","English (United Kingdom)",42,37,3,2
"683",23,"tools (C files)","C","Pangasinan",40,0,40,0
"684",24,"tools (C files)","C","Czech",40,0,40,0
"685",25,"tools (C files)","C","Bengali",40,0,40,0
"686",26,"tools (C files)","C","Persian",40,0,40,0
"687",27,"tools (C files)","C","Indonesian",42,2,40,0
"688",28,"tools (C files)","C","Norwegian Nynorsk",40,0,40,0
"689",29,"tools (C files)","C","Albanian",40,0,40,0
"690",30,"tools (C files)","C","Urdu",40,0,40,0
"691",1,"tools (R files)","R","English",465,465,0,0
"692",2,"tools (R files)","R","Danish",463,42,389,32
"693",3,"tools (R files)","R","German",463,437,11,15
"694",4,"tools (R files)","R","French",463,440,13,10
"695",5,"tools (R files)","R","Italian",463,401,18,44
"696",6,"tools (R files)","R","Japanese",463,322,74,67
"697",7,"tools (R files)","R","Korean",463,280,130,53
"698",8,"tools (R files)","R","Lithuanian",463,378,37,48
"699",9,"tools (R files)","R","Polish",463,436,13,14
"700",10,"tools (R files)","R","Portuguese (Brazil)",463,405,15,43
"701",11,"tools (R files)","R","Russian",463,420,20,23
"702",12,"tools (R files)","R","Turkish",463,2,461,0
"703",13,"tools (R files)","R","Chinese (Simplified Han script)",463,247,110,106
"704",14,"tools (R files)","R","Chinese (Traditional Han script)",463,333,70,60
"705",15,"tools (R files)","R","Arabic",463,446,15,2
"706",16,"tools (R files)","R","Spanish",463,422,33,8
"707",17,"tools (R files)","R","Dutch",442,0,442,0
"708",18,"tools (R files)","R","Hindi",463,0,462,1
"709",19,"tools (R files)","R","Nepali",463,1,462,0
"710",20,"tools (R files)","R","Hungarian",463,6,457,0
"711",21,"tools (R files)","R","Catalan",463,103,18,342
"712",22,"tools (R files)","R","English (United Kingdom)",463,426,15,22
"713",23,"tools (R files)","R","Pangasinan",442,0,442,0
"714",24,"tools (R files)","R","Czech",442,0,442,0
"715",25,"tools (R files)","R","Bengali",442,0,442,0
"716",26,"tools (R files)","R","Persian",442,0,442,0
"717",27,"tools (R files)","R","Indonesian",463,2,461,0
"718",28,"tools (R files)","R","Norwegian Nynorsk",442,0,442,0
"719",29,"tools (R files)","R","Albanian",442,0,442,0
"720",30,"tools (R files)","R","Urdu",442,0,442,0
"721",1,"utils (C files)","C","English",110,110,0,0
"722",2,"utils (C files)","C","German",59,59,0,0
"723",3,"utils (C files)","C","French",59,58,0,1
"724",4,"utils (C files)","C","Italian",59,58,0,1
"725",5,"utils (C files)","C","Korean",59,48,7,4
"726",6,"utils (C files)","C","Lithuanian",59,55,1,3
"727",7,"utils (C files)","C","Polish",59,59,0,0
"728",8,"utils (C files)","C","Russian",59,59,0,0
"729",9,"utils (C files)","C","Chinese (Traditional Han script)",59,52,2,5
"730",10,"utils (C files)","C","Arabic",59,59,0,0
"731",11,"utils (C files)","C","Portuguese (Brazil)",59,57,1,1
"732",12,"utils (C files)","C","Spanish",59,50,9,0
"733",13,"utils (C files)","C","Japanese",59,0,59,0
"734",14,"utils (C files)","C","Dutch",59,2,57,0
"735",15,"utils (C files)","C","Hindi",59,5,54,0
"736",16,"utils (C files)","C","Nepali",59,0,59,0
"737",17,"utils (C files)","C","Turkish",59,0,59,0
"738",18,"utils (C files)","C","Hungarian",59,1,58,0
"739",19,"utils (C files)","C","Catalan",59,49,0,10
"740",20,"utils (C files)","C","English (United Kingdom)",59,59,0,0
"741",21,"utils (C files)","C","Pangasinan",59,0,59,0
"742",22,"utils (C files)","C","Czech",59,0,59,0
"743",23,"utils (C files)","C","Bengali",59,0,59,0
"744",24,"utils (C files)","C","Danish",59,24,35,0
"745",25,"utils (C files)","C","Persian",59,0,59,0
"746",26,"utils (C files)","C","Indonesian",59,1,58,0
"747",27,"utils (C files)","C","Norwegian Nynorsk",59,0,59,0
"748",28,"utils (C files)","C","Albanian",59,0,59,0
"749",29,"utils (C files)","C","Urdu",59,0,59,0
"750",30,"utils (C files)","C","Chinese (Simplified Han script)",59,0,59,0
"751",1,"utils (R files)","R","English",439,439,0,0
"752",2,"utils (R files)","R","Danish",430,37,355,38
"753",3,"utils (R files)","R","German",430,407,9,14
"754",4,"utils (R files)","R","Persian",430,5,422,3
"755",5,"utils (R files)","R","French",430,407,8,15
"756",6,"utils (R files)","R","Italian",430,396,17,17
"757",7,"utils (R files)","R","Japanese",430,331,63,36
"758",8,"utils (R files)","R","Korean",430,297,98,35
"759",9,"utils (R files)","R","Lithuanian",430,378,22,30
"760",10,"utils (R files)","R","Polish",430,404,10,16
"761",11,"utils (R files)","R","Portuguese (Brazil)",430,408,9,13
"762",12,"utils (R files)","R","Russian",430,402,13,15
"763",13,"utils (R files)","R","Turkish",430,7,420,3
"764",14,"utils (R files)","R","Chinese (Simplified Han script)",430,307,69,54
"765",15,"utils (R files)","R","Chinese (Traditional Han script)",430,347,47,36
"766",16,"utils (R files)","R","Arabic",430,420,8,2
"767",17,"utils (R files)","R","Spanish",430,403,15,12
"768",18,"utils (R files)","R","Dutch",430,2,428,0
"769",19,"utils (R files)","R","Hindi",430,1,429,0
"770",20,"utils (R files)","R","Nepali",430,3,427,0
"771",21,"utils (R files)","R","Hungarian",430,8,422,0
"772",22,"utils (R files)","R","Catalan",430,21,15,394
"773",23,"utils (R files)","R","English (United Kingdom)",430,401,15,14
"774",24,"utils (R files)","R","Pangasinan",409,0,409,0
"775",25,"utils (R files)","R","Czech",430,1,429,0
"776",26,"utils (R files)","R","Bengali",409,0,409,0
"777",27,"utils (R files)","R","Indonesian",430,1,429,0
"778",28,"utils (R files)","R","Norwegian Nynorsk",409,0,409,0
"779",29,"utils (R files)","R","Albanian",409,0,409,0
"780",30,"utils (R files)","R","Urdu",409,0,409,0
"781",1,"Mac GUI","English","English",505,505,0,0
"782",2,"Mac GUI","English","German",505,505,0,0
"783",3,"Mac GUI","English","French",505,505,0,0
"784",4,"Mac GUI","English","Italian",505,504,1,0
"785",5,"Mac GUI","English","Japanese",505,505,0,0
"786",6,"Mac GUI","English","Dutch",505,503,2,0
"787",7,"Mac GUI","English","Spanish",505,505,0,0
"788",8,"Mac GUI","English","Arabic",505,505,0,0
"789",9,"Mac GUI","English","Hindi",505,0,505,0
"790",10,"Mac GUI","English","Nepali",505,12,0,493
"791",11,"Mac GUI","English","Turkish",505,35,470,0
"792",12,"Mac GUI","English","Hungarian",505,144,361,0
"793",13,"Mac GUI","English","Catalan",505,505,0,0
"794",14,"Mac GUI","English","English (United Kingdom)",505,1,504,0
"795",15,"Mac GUI","English","Russian",505,505,0,0
"796",16,"Mac GUI","English","Pangasinan",505,0,505,0
"797",17,"Mac GUI","English","Portuguese (Brazil)",505,505,0,0
"798",18,"Mac GUI","English","Polish",505,505,0,0
"799",19,"Mac GUI","English","Czech",505,130,375,0
"800",20,"Mac GUI","English","Bengali",505,0,505,0
"801",21,"Mac GUI","English","Danish",505,103,402,0
"802",22,"Mac GUI","English","Persian",505,0,505,0
"803",23,"Mac GUI","English","Indonesian",505,65,440,0
"804",24,"Mac GUI","English","Korean",505,0,505,0
"805",25,"Mac GUI","English","Lithuanian",505,0,505,0
"806",26,"Mac GUI","English","Norwegian Nynorsk",505,0,505,0
"807",27,"Mac GUI","English","Albanian",505,0,505,0
"808",28,"Mac GUI","English","Urdu",505,0,505,0
"809",29,"Mac GUI","English","Chinese (Simplified Han script)",505,6,499,0
"810",30,"Mac GUI","English","Chinese (Traditional Han script)",505,0,505,0
